Date;Secteur activité;Code tension raccordement;Tension raccordement;00h00;00h30;01h00;01h30;02h00;02h30;03h00;03h30;04h00;04h30;05h00;05h30;06h00;06h30;07h00;07h30;08h00;08h30;09h00;09h30;10h00;10h30;11h00;11h30;12h00;12h30;13h00;13h30;14h00;14h30;15h00;15h30;16h00;16h30;17h00;17h30;18h00;18h30;19h00;19h30;20h00;20h30;21h00;21h30;22h00;22h30;23h00;23h30;Nb points de soutirage;Energie journalière (MWh);Qualité
2019-05-09;Grande Industrie;3;63 kV;1230.322;1243.556;1258.125;1278.771;1265.354;1242.273;1262.061;1273.461;1258.262;1261.176;1294.585;1302.096;1331.811;1349.618;1337.847;1368.17;1349.955;1322.882;1342.371;1352.649;1333.235;1349.368;1340.82;1357.751;1353.607;1320.57;1342.74;1358.463;1365.109;1370.751;1401.233;1387.742;1385.617;1415.394;1373.569;1390.751;1360.2;1323.079;1356.943;1371.633;1339.622;1335.265;1355.053;1378.115;1339.851;1362.501;1361.607;1378.496;198;32017.215;Consolidée
2019-05-11;Grande Industrie;3;63 kV;1323.463;1317.186;1322.338;1331.642;1349.437;1333.676;1352.272;1363.125;1336.281;1361.336;1341.355;1302.876;1330.489;1331.333;1311.794;1298.719;1283.629;1301.262;1296.787;1296.19;1306.489;1286.014;1298.684;1281.936;1281.795;1262.831;1233.648;1224.531;1208.868;1223.686;1260.002;1239.191;1219.75;1231.224;1235.43;1215.329;1209.009;1244.802;1231.622;1211.628;1247.572;1250.93;1205.631;1226.474;1239.968;1221.585;1187.99;1201.79;198;30586.7995;Consolidée
2019-05-12;Autre;3;63 kV;839.518;835.875;835.182;817.011;805.25;787.601;797.348;798.735;798.701;798.542;800.861;801.628;823.531;832.703;827.586;824.22;827.315;831.4;824.748;830.537;824.663;824.799;817.607;803.741;809.886;807.646;801.463;819.782;818.658;814.584;832.915;831.392;832.31;833.455;832.356;834.591;834.17;834.036;833.024;833.815;822.201;820.879;826.78;822.276;827.149;832.59;828.118;834.388;226;19713.783;Consolidée
2019-05-12;Grande Industrie;6;225 kV;2705.345;2749.114;2859.218;2758.557;2864.967;2833.267;2826.863;2757.703;2762.958;2727.511;2770.112;2696.387;2657.704;2701.71;2673.536;2717.351;2752.054;2640.955;2727.542;2770.479;2703.835;2711.537;2791.132;2694.58;2735.418;2717.021;2754.732;2773.795;2756.467;2817.285;2840.875;2848.826;2759.644;2770.838;2736.134;2835.571;2778.045;2835.919;2854.777;2806.884;2789.562;2728.821;2802.619;2856.744;2899.42;2851.511;2782.922;2877.01;78;66532.6285;Consolidée
2019-05-12;Tertiaire;4;90 kV;25.291;26.159;27.355;20.254;20.302;24.335;19.759;21.124;24.066;24.617;27.863;29.958;31.459;32.441;34.751;39.511;65.358;56.697;77.189;75.346;78.868;83.72;88.399;80.837;77.395;70.248;66.224;61.746;72.986;75.857;88.548;77.674;89.029;98.906;102.307;94.575;122.571;112.294;137.16;113.759;115.25;116.263;112.879;90.289;88.592;62.755;60.12;47.405;116;1595.2455;Consolidée
2019-05-13;Grande Industrie;2;45 kV;153.683;189.472;164.756;191.725;172.106;165.508;189.463;191.062;178.894;191.285;180.193;191.036;199.96;190.299;172.988;186.182;190.637;190.54;179.582;193.553;188.906;203.409;191.077;198.915;186.821;203.454;181.288;188.791;181.881;186.105;183.148;189.552;170.859;199.328;179.55;202.518;183.939;189.808;193.251;188.643;189.918;162.489;168.069;190.574;190.615;187.145;193.146;183.159;7;4459.641;Consolidée
2019-05-14;Tertiaire;3;63 kV;191.178;181.256;180.313;185.12;186.144;187.324;192.173;177.766;173.841;198.457;230.131;314.024;368.514;461.444;513.017;526.208;510.752;468.182;428.557;404.144;346.314;330.948;311.437;295.505;295.034;332.797;310.494;327.539;316.183;305.485;326.605;336.506;353.341;409.997;434.568;492.182;500.069;531.176;517.079;515.694;479.716;459.421;398.637;394.482;334.246;307.397;275.762;236.886;332;8277.0225;Consolidée
2019-05-15;Autre;3;63 kV;911.438;909.88;907.845;890.94;881.61;879.536;880.031;881.672;880.977;892.922;887.667;915.478;928.232;949.181;966.949;977.015;999.746;1005.776;1017.332;1010.697;994.894;986.793;988.993;985.103;954.25;956.074;945.941;968.612;956.907;962.922;958.372;959.667;981.069;974.865;988.32;986.661;978.01;969.571;965.489;953.492;938.902;914.683;904.283;901.617;908.065;902.988;900.684;904.848;226;22633.4995;Consolidée
2019-05-15;Autre;4;90 kV;371.305;379.593;394.415;388.294;368.411;369.085;366.918;374.803;387.319;384.34;390.104;398.865;411.808;417.869;393.566;385.499;372.696;369.635;361.86;355.788;360.168;364.176;371.265;382.232;384.518;380.787;377.307;382.964;363.319;360.786;360.916;381.422;386.635;382.149;355.249;355.661;355.821;362.583;363.576;368.323;366.71;367.938;365.177;358.868;365.587;372.103;370.606;371.646;75;8990.3325;Consolidée
2019-05-15;Grande Industrie;3;63 kV;1302.389;1299.672;1280.756;1300.871;1273.025;1271.744;1268.985;1287.717;1307.058;1293.469;1297.666;1301.379;1323.665;1334.918;1279.256;1317.309;1342.085;1325.782;1330.238;1331.935;1314.009;1336.02;1326.425;1309.7;1318.045;1319.015;1306.939;1276.287;1262.888;1301.267;1312.211;1363.329;1375.408;1347.11;1338.493;1345.872;1369.382;1374.478;1356.424;1371.784;1354.545;1327.951;1319.33;1341.022;1350.968;1324.023;1340.454;1335.049;198;31694.1735;Consolidée
2019-05-15;Grande Industrie;6;225 kV;2786.007;2793.056;2721.717;2742.541;2705.454;2877.299;2789.616;2795.409;2814.94;2713.081;2685.205;2670.738;2668.348;2560.256;2613.381;2623.324;2562.79;2570.691;2567.663;2521.964;2513.599;2588.481;2610.075;2572.515;2590.96;2581.388;2548.891;2556.748;2503.41;2482.272;2529.912;2466.537;2577.581;2571.054;2524.633;2664.652;2671.756;2656.323;2699.526;2668.916;2736.015;2696.476;2651.903;2709.294;2736.229;2738.469;2676.932;2681.591;78;63494.809;Consolidée
2019-05-16;Tertiaire;4;90 kV;57.803;41.81;49.762;49.204;50.324;50.099;54.367;41.091;41.277;53.656;62.702;68.537;109.91;137.858;183.034;175.879;189.273;147.092;139.267;94.635;90.202;78.864;72.469;79.817;84.105;76.823;92.814;78.841;87.6;78.465;79.083;88.985;93.424;101.543;127.178;146.362;157.683;172.521;183.541;163.319;162.622;140.448;126.843;91.392;78.284;58.267;58.082;65.554;116;2356.3555;Consolidée
2019-05-17;Grande Industrie;2;45 kV;171.401;178.849;176.646;164.783;161.898;149.759;158.59;168.276;172.816;174.54;181.265;172.672;163.208;162.42;186.257;181.204;184.818;163.908;155.658;175.2;194.419;187.127;141.142;158.73;136.715;171.311;160.39;160.691;152.552;163.847;184.916;186.48;186.139;183.491;184.55;168.244;164.927;167.999;180.436;169.448;161.097;168.805;166.587;168.59;158.74;181.112;151.908;164.154;7;4064.3575;Consolidée
2019-05-17;Tertiaire;3;63 kV;193.001;179.176;183.085;186.286;189.376;180.018;185.344;174.098;183.703;197.688;228.445;285.826;382.952;448.52;479.949;511.274;496.92;487.082;418.278;414.349;359.143;329.787;312.332;294.87;296.061;300.615;316.603;315.61;326.66;320.411;324.486;332.231;357.789;413.979;429.083;471.068;518.749;525.188;509.947;547.559;516.213;500.075;419.65;397.557;328.512;330.885;274.402;233.972;332;8304.4035;Consolidée
2019-05-17;Tertiaire;6;225 kV;117.895;96.157;87.677;81.847;103.354;74.937;65.958;87.351;75.278;108.489;144.969;191.907;252.094;381.027;522.783;649.622;745.984;727.759;707.397;607.62;559.947;551.61;585.672;566.78;564.033;499.024;565.093;558.459;519.925;528.26;558.373;600.268;644.48;620.318;670.838;720.626;732.175;724.307;707.659;652.982;630.658;618.978;683.11;643.551;485.213;383.038;315.286;257.528;57;10989.148;Consolidée
2019-05-18;Grande Industrie;4;90 kV;471.653;456.515;456.62;467.796;464.156;456.019;467.839;464.053;470.086;469.143;472.817;463.314;465.568;463.827;464.551;460.835;463.876;461.863;463.305;462.333;464.921;461.371;459.927;464.456;463.76;460.015;460.109;453.707;450.712;447.668;447.134;446.23;446.669;449.231;443.99;443.077;438.842;441.45;436.496;430.432;437.06;439.28;436.145;439.123;440.121;436.285;439.399;431.074;70;10897.4265;Consolidée
2019-05-19;Autre;2;45 kV;30.264;30.188;30.178;30.535;31.209;32.228;33.364;37.66;43.265;39.22;28.816;33.102;33.147;17.771;17.631;17.423;28.353;32.019;32.326;32.21;32.009;32.425;30.626;31.518;32.392;32.503;32.337;32.975;33.293;32.77;18.996;16.72;17.224;17.166;16.914;17.018;16.879;16.831;16.799;27.139;26.381;31.5;31.563;31.913;31.909;32.197;32.241;32.518;8;682.8325;Consolidée
2019-05-19;Tertiaire;4;90 kV;22.963;20.422;24.622;18.184;16.6;22.044;16.782;19.226;17.35;20.693;19.642;28.593;23.84;31.527;26.552;34.776;63.743;51.261;78.887;66.577;86.294;85.75;88.065;89.391;80.163;78.329;77.305;59.045;69.508;69.369;96.192;74.396;89.893;88.64;100.794;94.393;111.445;96.127;119.896;116.369;119.804;102.86;113.807;84.244;87.813;64.426;62.546;41.297;116;1536.2225;Consolidée
2019-05-20;Autre;6;225 kV;306.791;308.403;301.188;278.928;266.659;261.323;259.167;260.993;260.098;264.467;268.488;283.616;310.904;322.436;346.017;382.101;413.629;429.862;427.287;417.644;431.111;400.523;377.839;360.515;384.118;384.698;385.773;392.615;384.104;383.048;380.471;383.587;419.441;391.826;425.075;410.517;422.516;432.364;423.628;421.853;404.588;387.072;353.217;369.378;347.047;329.592;328.616;309.611;42;8597.372;Consolidée
2019-05-21;Autre;2;45 kV;34.207;35.132;24.663;24.619;24.341;24.111;23.185;14.909;14.972;15.464;16.176;16.735;16.547;17.133;16.762;16.298;16.107;16.01;16.032;15.962;11.172;12.91;16.038;16.066;14.945;15.494;15.816;14.499;15.667;17.593;15.467;17.151;17.328;25.478;31.267;32.904;32.727;36.813;37.182;36.832;37.148;23.177;37.661;38.669;39.173;35.387;34.589;28.909;8;553.7135;Consolidée
2019-05-21;Autre;4;90 kV;434.47;423.466;408.627;379.95;389.277;386.26;377.577;376.233;376.647;377.906;383.24;387.781;388.765;392.438;400.193;402.124;404.38;394.674;396.573;391.338;393.82;399.583;384.747;388.285;383.261;377.302;374.876;372.193;374.517;381.527;384.85;381.925;384.251;380.33;385.971;403.554;409.638;422.401;422.478;419.88;416.554;425.222;429.913;428.297;420.105;427.775;436.248;441.459;75;9561.4405;Consolidée
2019-05-21;Grande Industrie;4;90 kV;461.732;466.963;469.767;461.635;467.782;464.473;459.884;458.82;472.613;467.835;466.253;479.656;484.115;477.227;478.373;476.51;477.126;479.311;525.4;519.787;515.27;518.736;525.475;526.368;523.784;538.718;541.018;533.809;541.228;540.902;533.516;541.064;535.484;546.476;522.244;484.006;491.809;489.215;494.724;488.612;485.646;488.572;481.815;483.147;477.372;478.957;473.598;459.993;70;11888.41;Consolidée
2019-05-21;Tertiaire;6;225 kV;109.273;101.07;95.167;83.8;82.641;80.356;86.445;89.724;92.244;108.457;125.425;186.735;246.262;406.873;531.394;650.023;754.563;762.557;656.453;611.052;536.609;554.59;524.334;518.02;486.266;481.987;527.473;477.036;434.506;479.043;479.835;558.132;565.741;566.518;584.64;722.058;686.301;627.952;670.282;679.563;671.794;607.981;538.914;494.554;404.891;280.715;178.375;159.949;57;10179.2865;Consolidée
2019-05-22;Tertiaire;2;45 kV;0.696;2.02;0.391;0.399;5.556;9.151;0.887;1.103;2.687;2.256;5.895;3.241;10.145;5.827;12.775;9.731;11.476;2.89;4.896;4.197;3.21;3.958;4.176;0.794;1.735;0.858;2.062;0.749;1.518;1.258;2.592;3.448;9.778;1.718;1.767;6.156;10.713;8.897;6.757;9.051;2.305;8.201;3.589;2.371;3.043;1.925;7.702;5.914;8;106.232;Consolidée
2019-05-22;Tertiaire;6;225 kV;115.812;121.073;79.22;97.59;75.829;89.213;83.761;97.463;89.585;99.22;131.831;207.686;254.371;435.684;567.822;665.969;741.23;734.41;655.156;589.892;512.238;549.895;533.256;535.841;473.912;465.601;511.356;497.56;463.685;516.472;483.556;536.995;537.342;559.542;550.266;721.061;773.99;732.175;780.256;801.326;678.466;602.991;475.53;472.392;313.236;290.826;204.72;151.65;57;10329.4765;Consolidée
2019-05-23;Autre;2;45 kV;37.677;36.5;40.931;31.183;31.296;31.8;32.467;33.254;33.409;34.128;34.239;34.74;35.198;35.432;35.294;19.007;30.661;32.121;32.244;29.924;30.902;29.373;29.163;29.421;25.763;25.953;31.638;32.87;40.072;43.776;44.371;43.361;42.821;32.903;32.713;17.672;28.481;30.028;33.403;33.364;33.723;33.503;34.08;34.336;34.668;34.831;34.393;34.619;8;796.853;Consolidée
