ANNEE;Code INSEE de la région;Région;Niveau de tension (kV);Nombre de postes électriques
2024;76;OCCITANIE;45;0
2024;53;BRETAGNE;400;4
2024;27;BOURGOGNE-FRANCHE-COMTE;225;31
2024;53;BRETAGNE;225;21
2024;93;PROVENCE-ALPES-COTE D'AZUR;225;64
2024;24;CENTRE-VAL DE LOIRE;150;0
2024;44;GRAND EST;150;0
2024;44;GRAND EST;90;15
2024;76;OCCITANIE;63;278
2024;53;BRETAGNE;45;0
2024;44;GRAND EST;45;0
2024;28;NORMANDIE;45;0
2024;75;NOUVELLE-AQUITAINE;45;0
2024;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2024;84;AUVERGNE-RHONE-ALPES;400;28
2024;76;OCCITANIE;400;14
2024;24;CENTRE-VAL DE LOIRE;225;12
2024;84;AUVERGNE-RHONE-ALPES;150;0
2024;11;ILE-DE-FRANCE;150;0
2024;53;BRETAGNE;63;93
2024;24;CENTRE-VAL DE LOIRE;63;5
2024;32;HAUTS-DE-FRANCE;63;62
2024;11;ILE-DE-FRANCE;63;53
2024;52;PAYS DE LA LOIRE;63;24
2024;93;PROVENCE-ALPES-COTE D'AZUR;63;135
2023;24;CENTRE-VAL DE LOIRE;400;14
2023;52;PAYS DE LA LOIRE;400;7
2023;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2023;53;BRETAGNE;225;21
2023;32;HAUTS-DE-FRANCE;225;64
2023;76;OCCITANIE;225;60
2023;84;AUVERGNE-RHONE-ALPES;150;0
2023;53;BRETAGNE;150;0
2023;27;BOURGOGNE-FRANCHE-COMTE;90;0
2023;24;CENTRE-VAL DE LOIRE;90;117
2023;32;HAUTS-DE-FRANCE;90;69
2023;76;OCCITANIE;90;0
2023;84;AUVERGNE-RHONE-ALPES;63;315
2023;53;BRETAGNE;63;92
2023;44;GRAND EST;63;167
2023;93;PROVENCE-ALPES-COTE D'AZUR;63;132
2023;27;BOURGOGNE-FRANCHE-COMTE;45;0
2023;52;PAYS DE LA LOIRE;45;0
2023;27;BOURGOGNE-FRANCHE-COMTE;400;8
2023;44;GRAND EST;400;20
2023;75;NOUVELLE-AQUITAINE;400;16
2023;75;NOUVELLE-AQUITAINE;225;44
2023;52;PAYS DE LA LOIRE;225;27
2023;52;PAYS DE LA LOIRE;150;0
2023;53;BRETAGNE;90;30
2023;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2023;24;CENTRE-VAL DE LOIRE;63;5
2023;75;NOUVELLE-AQUITAINE;63;147
2023;52;PAYS DE LA LOIRE;63;24
2023;24;CENTRE-VAL DE LOIRE;45;0
2023;28;NORMANDIE;45;0
2023;75;NOUVELLE-AQUITAINE;45;0
2023;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2023;53;BRETAGNE;400;4
2023;11;ILE-DE-FRANCE;400;13
2023;28;NORMANDIE;400;12
2023;76;OCCITANIE;400;14
2023;27;BOURGOGNE-FRANCHE-COMTE;225;31
2023;24;CENTRE-VAL DE LOIRE;225;12
2023;44;GRAND EST;225;65
2023;11;ILE-DE-FRANCE;225;117
2023;93;PROVENCE-ALPES-COTE D'AZUR;225;64
2023;27;BOURGOGNE-FRANCHE-COMTE;150;1
2023;24;CENTRE-VAL DE LOIRE;150;0
2023;32;HAUTS-DE-FRANCE;150;0
2023;28;NORMANDIE;150;0
2023;93;PROVENCE-ALPES-COTE D'AZUR;150;8
2023;11;ILE-DE-FRANCE;90;11
2023;32;HAUTS-DE-FRANCE;63;62
2023;44;GRAND EST;45;0
2023;11;ILE-DE-FRANCE;45;0
2023;84;AUVERGNE-RHONE-ALPES;400;28
2023;32;HAUTS-DE-FRANCE;400;18
2023;84;AUVERGNE-RHONE-ALPES;225;86
2023;28;NORMANDIE;225;24
2023;44;GRAND EST;150;0
2023;11;ILE-DE-FRANCE;150;0
2023;76;OCCITANIE;150;11
2023;84;AUVERGNE-RHONE-ALPES;90;8
2023;44;GRAND EST;90;15
2023;28;NORMANDIE;90;102
2023;75;NOUVELLE-AQUITAINE;90;149
2023;52;PAYS DE LA LOIRE;90;103
2023;27;BOURGOGNE-FRANCHE-COMTE;63;153
2023;11;ILE-DE-FRANCE;63;53
2023;28;NORMANDIE;63;2
2023;76;OCCITANIE;63;276
2023;84;AUVERGNE-RHONE-ALPES;45;8
2023;53;BRETAGNE;45;0
2023;32;HAUTS-DE-FRANCE;45;0
2023;76;OCCITANIE;45;0
2023;75;NOUVELLE-AQUITAINE;150;3
2022;32;HAUTS-DE-FRANCE;400;18
2022;75;NOUVELLE-AQUITAINE;400;16
2022;52;PAYS DE LA LOIRE;400;7
2022;75;NOUVELLE-AQUITAINE;225;44
2022;76;OCCITANIE;225;58
2022;53;BRETAGNE;150;0
2022;27;BOURGOGNE-FRANCHE-COMTE;90;0
2022;11;ILE-DE-FRANCE;90;11
2022;75;NOUVELLE-AQUITAINE;90;148
2022;75;NOUVELLE-AQUITAINE;45;0
2022;44;GRAND EST;400;20
2022;76;OCCITANIE;400;14
2022;84;AUVERGNE-RHONE-ALPES;225;86
2022;44;GRAND EST;150;0
2022;32;HAUTS-DE-FRANCE;150;0
2022;28;NORMANDIE;150;0
2022;52;PAYS DE LA LOIRE;150;0
2022;93;PROVENCE-ALPES-COTE D'AZUR;150;9
2022;76;OCCITANIE;90;0
2022;27;BOURGOGNE-FRANCHE-COMTE;63;155
2022;32;HAUTS-DE-FRANCE;63;61
2022;24;CENTRE-VAL DE LOIRE;45;0
2022;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2022;28;NORMANDIE;400;12
2022;27;BOURGOGNE-FRANCHE-COMTE;225;31
2022;44;GRAND EST;225;64
2022;52;PAYS DE LA LOIRE;225;26
2022;76;OCCITANIE;150;10
2022;32;HAUTS-DE-FRANCE;90;69
2022;52;PAYS DE LA LOIRE;90;103
2022;93;PROVENCE-ALPES-COTE D'AZUR;63;131
2022;53;BRETAGNE;45;0
2022;11;ILE-DE-FRANCE;45;0
2022;27;BOURGOGNE-FRANCHE-COMTE;400;8
2022;24;CENTRE-VAL DE LOIRE;400;14
2022;53;BRETAGNE;225;20
2022;32;HAUTS-DE-FRANCE;225;64
2022;11;ILE-DE-FRANCE;225;113
2022;93;PROVENCE-ALPES-COTE D'AZUR;225;64
2022;24;CENTRE-VAL DE LOIRE;150;0
2022;75;NOUVELLE-AQUITAINE;150;3
2022;84;AUVERGNE-RHONE-ALPES;90;8
2022;24;CENTRE-VAL DE LOIRE;90;117
2022;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2022;84;AUVERGNE-RHONE-ALPES;63;313
2022;27;BOURGOGNE-FRANCHE-COMTE;45;0
2022;44;GRAND EST;45;0
2022;76;OCCITANIE;45;0
2022;84;AUVERGNE-RHONE-ALPES;400;28
2022;53;BRETAGNE;400;4
2022;11;ILE-DE-FRANCE;400;13
2022;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2022;24;CENTRE-VAL DE LOIRE;225;12
2022;28;NORMANDIE;225;23
2022;84;AUVERGNE-RHONE-ALPES;150;0
2022;27;BOURGOGNE-FRANCHE-COMTE;150;1
2022;11;ILE-DE-FRANCE;150;0
