IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
A.ADOP3;POSTE 63kV N0 1 AIRE-SUR-ADOUR;40001;Aire-sur-l'Adour;;< 5 MW;;;;;;
A.BAIP3;POSTE 63kV N0 1 AIX-LES-BAINS;73008;Aix-les-Bains;;< 5 MW;zone soutirage;;;;;
A.COMP6;POSTE 225kV N0 1 AVESNES-LE-COMTE;62063;Avesnes-le-Comte;;< 5 MW;zone soutirage;;;;;
A.HUEP3;POSTE 63kV N0 1 ALPE-D HUEZ;38191;Huez;;< 5 MW;zone soutirage;;;;;
A.LIGP3;POSTE 63kV N0 1 ACHILLE LIGNON;69266;Villeurbanne;;< 5 MW;zone soutirage;;;;;
A.MERP3;POSTE 63kV N0 1 ARGELES-SUR-MER;66008;Argelès-sur-Mer;;< 5 MW;;;;;;
A.MOUP6;POSTE 225kV N0 1 AIX-MOURET;13001;Aix-en-Provence;;< 5 MW;zone soutirage;;;;;
A.PLEP4;POSTE 90kV N0 1 ARGENTRE-DU-PLESSIS;35006;Argentré-du-Plessis;;< 5 MW;zone soutirage;;;;;
ABBENP3;POSTE 63kV N0 1 ABBENANS;25003;Abbenans;;< 5 MW;;;;;;
ABBEVP4;POSTE 90kV N0 1 ABBEVILLE;80001;Abbeville;;< 5 MW;;;;;;
ABLAIP6;POSTE 225kV N0 1 ABLAINCOURT;80002;Ablaincourt-Pressoir;;< 5 MW;;;;;;
ABONDP3;POSTE 63kV N0 1 ABONDANCE;74001;Abondance;;< 5 MW;zone soutirage;;;;;
ACHIEP4;POSTE 90kV N0 1 ACHIET;62005;Achiet-le-Grand;;< 5 MW;;;;;;
ADELSP3;POSTE 63kV N0 1 ADELSBERG;57628;Sarralbe;;< 5 MW;;;;;;
AGNEAP4;POSTE 90kV N0 1 AGNEAUX;50002;Agneaux;;< 5 MW;zone soutirage;;;;;
AGUESP3;POSTE 63kV N0 1 AGUESSAC;12002;Aguessac;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AICIRP3;POSTE 63kV N0 1 AICIRITS;64010;Aïcirits-Camou-Suhast;;< 5 MW;;;;;;
AIGU6P3;POSTE 63kV N0 1 AIGUEPERSE;63001;Aigueperse;;< 5 MW;zone soutirage;;;;;
AIGURP4;POSTE 90kV N0 1 AIGURANDE;36001;Aigurande;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AILLEP3;POSTE 63kV N0 1 AILLEVILLE;10002;Ailleville;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AIME P3;POSTE 63kV N0 1 AIME;73150;La Plagne Tarentaise;;< 5 MW;zone soutirage;;;;;
AIRAIP4;POSTE 90kV N0 1 AIRAINES;80013;Airaines;;< 5 MW;;;;;;
AIRE P4;POSTE 90kV N0 1 AIRE;62014;Aire-sur-la-Lys;;< 5 MW;;;;;;
AIRVAP4;POSTE 90kV N0 1 AIRVAULT;79005;Airvault;zone faisant l'objet de demandes;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;50 MW;Airvault;55 MW
AIRVAP6;POSTE 225kV N0 1 AIRVAULT;79005;Airvault;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AIX  P3;POSTE 63kV N0 1 AIX;13001;Aix-en-Provence;;< 5 MW;zone soutirage;;;;;
ALBE5P4;POSTE 90kV N0 1 ALBERT;80016;Albert;;< 5 MW;;;;;;
ALBERP3;POSTE 63kV N0 1 ALBERTVILLE;73011;Albertville;;< 5 MW;zone soutirage;;;;;
ALBERP6;POSTE 225kV N0 1 ALBERTVILLE;73011;Albertville;;< 5 MW;zone soutirage;;;;;
ALBERP7;POSTE 400kV N0 1 ALBERTVILLE;73011;Albertville;;< 5 MW;;;;;;
ALENCP4;POSTE 90kV N0 1 ALENCON;61117;Condé-sur-Sarthe;;< 5 MW;zone soutirage;;;;;
ALERIP4;POSTE 90kV N0 1 ALERIE;50298;Méautis;;< 5 MW;zone soutirage;;;;;
ALLAIP3;POSTE 63kV N0 1 ALLAIRE;56001;Allaire;;< 5 MW;zone soutirage;;;;;
ALLEMP3;POSTE 63kV N0 1 ALLEMENT;01303;Poncin;;< 5 MW;;;;;;
ALLEUP4;POSTE 90kV N0 1 ALLEUX (GRANDVILLIERS);60286;Grandvilliers;;< 5 MW;;;;;;
ALLIEP3;POSTE 63kV N0 1 ALLIERES;69037;Chambost-Allières;;< 5 MW;zone soutirage;;;;;
ALLINP3;POSTE 63kV N0 1 ALLINGES;74005;Allinges;;< 5 MW;zone soutirage;;;;;
ALLINP6;POSTE 225kV N0 1 ALLINGES;74005;Allinges;;< 5 MW;zone soutirage;;;;;
ALOUEP6;POSTE 225kV N0 1 ALOUETTES (LES);94033;Fontenay-sous-Bois;;< 5 MW;zone soutirage;;;;;
ALSACP6;POSTE 225kV N0 1 ALSACE;92026;Courbevoie;;< 5 MW;zone soutirage;;;;;
ALTKIP3;POSTE 63kV N0 1 ALTKIRCH;68062;Carspach;;< 5 MW;;;;;;
AMANVP3;POSTE 63kV N0 1 AMANVILLERS;57017;Amanvillers;;< 5 MW;;;;;;
AMARGP6;POSTE 225kV N0 1 AMARGUE;80724;Saleux;;< 5 MW;;;;;;
AMARIP3;POSTE 63kV N0 1 AMARIN;68292;Saint-Amarin;;< 5 MW;zone soutirage;;;;;
AMBE5P3;POSTE 63kV N0 1 AMBERT;63003;Ambert;;< 5 MW;zone soutirage;;;;;
AMBERP3;POSTE 63kV N0 1 AMBERIEU;01004;Ambérieu-en-Bugey;;< 5 MW;zone soutirage;;;;;
AMBONP3;POSTE 63kV N0 1 AMBON;56002;Ambon;;< 5 MW;zone soutirage;;;;;
AMELEP3;POSTE 63kV N0 1 AMELECOURT;57018;Amelécourt;;< 5 MW;;;;;;
AMIENP6;POSTE 225kV N0 1 AMIENS;80021;Amiens;;< 5 MW;;;;;;
AMILLP4;POSTE 90kV N0 1 AMILLY;45004;Amilly;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AMNEVP6;POSTE 225kV N0 1 AMNEVILLE;57019;Amnéville;;< 5 MW;zone soutirage;;;;;
AMPE5P3;POSTE 63kV N0 1 AMPERE (VILLEFRANCHE-SUR-SAONE);69264;Villefranche-sur-Saône;;< 5 MW;zone soutirage;;;;;
AMPLEP3;POSTE 63kV N0 1 AMPLEPUIS;69006;Amplepuis;;< 5 MW;zone soutirage;;;;;
ANCENP4;POSTE 90kV N0 1 ANCENIS;44003;Ancenis-Saint-Géréon;;< 5 MW;;;;;;
ANCERP3;POSTE 63kV N0 1 ANCERVILLE;57718;Villers-Stoncourt;;< 5 MW;zone soutirage;;;;;
ANCIZP3;POSTE 63kV N0 1 ANCIZES (LES);63004;Les Ancizes-Comps;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
ANDE5P4;POSTE 90kV N0 1 ANDELYS (LES);27016;Les Andelys;;< 5 MW;zone soutirage;;;;;
ANDUZP3;POSTE 63kV N0 1 ANDUZE;30010;Anduze;;< 5 MW;zone soutirage;;;;;
ANGELP4;POSTE 90kV N0 1 ANGELIQUE;45146;La Ferté-Saint-Aubin;;< 5 MW;zone soutirage;;;;;
ANGERP4;POSTE 90kV N0 1 ANGERS;49007;Angers;;< 5 MW;zone soutirage;;;;;
ANGREP3;POSTE 63kV N0 1 ANGRESSE;40004;Angresse;;< 5 MW;zone soutirage;;;;;
ANNA P3;POSTE 63kV N0 1 ANNA;68166;Kingersheim;;< 5 MW;zone soutirage;;;;;
ANNAYP3;POSTE 63kV N0 1 ANNAY;89010;Annay-sur-Serein;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
ANNEMP3;POSTE 63kV N0 1 ANNEMASSE;74012;Annemasse;;< 5 MW;zone soutirage;;;;;
ANNEYP3;POSTE 63kV N0 1 ANNEYRON;26010;Anneyron;;< 5 MW;zone soutirage;;;;;
ANOULP3;POSTE 63kV N0 1 ANOULD;88009;Anould;;< 5 MW;zone soutirage;;;;;
ANOULP6;POSTE 225kV N0 1 ANOULD;88009;Anould;;< 5 MW;zone soutirage;;;;;
ANSERP6;POSTE 225kV N0 1 ANSEREUILLES (LES);59653;Wavrin;;< 5 MW;zone soutirage;;;;;
ANSTAP4;POSTE 90kV N0 1 ANSTAING;59013;Anstaing;;< 5 MW;zone soutirage;;;;;
ANTIBP6;POSTE 225kV N0 1 ANTIBES;06004;Antibes;;< 5 MW;zone soutirage;;;;;
ANTIFP4;POSTE 90kV N0 1 ANTIFER;76595;Saint-Jouin-Bruneval;;< 5 MW;;;;;;
AOSTEP3;POSTE 63kV N0 1 AOSTE;38012;Aoste;;< 5 MW;zone soutirage;;;;;
AOSTEP6;POSTE 225kV N0 1 AOSTE;38012;Aoste;;< 5 MW;zone soutirage;;;;;
APT  P3;POSTE 63kV N0 1 APT;84003;Apt;;< 5 MW;;;;;;
AQUEDP3;POSTE 63kV N0 1 AQUEDUCS (LES);91340;Lisses;;< 5 MW;zone soutirage;;;;;
AQUEDP6;POSTE 225kV N0 1 AQUEDUCS (LES);91340;Lisses;;< 5 MW;zone soutirage;;;;;
ARACHP3;POSTE 63kV N0 1 ARACHES;74014;Arâches-la-Frasse;;< 5 MW;zone soutirage;;;;;
ARBOIP3;POSTE 63kV N0 1 ARBOIS;39013;Arbois;;< 5 MW;zone soutirage;;;;;
ARC18P3;POSTE 63kV N0 1 ARC 1800;73054;Bourg-Saint-Maurice;;< 5 MW;zone soutirage;;;;;
ARCACP3;POSTE 63kV N0 1 ARCACHON;33009;Arcachon;;< 5 MW;;;;;;
ARCHIP4;POSTE 90kV N0 1 ARCHINGEAY;17017;Archingeay;;< 5 MW;zone soutirage;;;;;
ARCISP3;POSTE 63kV N0 1 ARCIS (-SUR-AUBE);10429;Villette-sur-Aube;;< 5 MW;;;;;;
ARDOIP3;POSTE 63kV N0 1 ARDOISE (L );30141;Laudun-l'Ardoise;;< 5 MW;;;;;;
ARDOIP6;POSTE 225kV N0 1 ARDOISE (L );30141;Laudun-l'Ardoise;;< 5 MW;;;;;;
ARENCP6;POSTE 225kV N0 1 ARENC;13055;Marseille;;< 5 MW;zone soutirage;;;;;
ARGE5P4;POSTE 90kV N0 1 ARGENTAT;19010;Argentat-sur-Dordogne;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
ARGE6P3;POSTE 63kV N0 1 ARGENTEUIL;95018;Argenteuil;;< 5 MW;zone soutirage;;;;;
ARGE6P6;POSTE 225kV N0 1 ARGENTEUIL;95018;Argenteuil;;< 5 MW;zone soutirage;;;;;
ARGE8P4;POSTE 90kV N0 1 ARGENTAN;61006;Argentan;;< 5 MW;zone soutirage;;;;;
ARGENP3;POSTE 63kV N0 1 ARGENTIERE (L);05006;L'Argentière-la-Bessée;;< 5 MW;;;;;;
ARGENP6;POSTE 225kV N0 1  ARGENTIERE (L);05006;L'Argentière-la-Bessée;;< 5 MW;;;;;;
ARGIAP3;POSTE 63kV N0 1 ARGIA (BAYONNE SUD);64558;Villefranque;;< 5 MW;zone soutirage;;;;;
ARGIAP6;POSTE 225kV N0 1 ARGIA (BAYONNE SUD);64558;Villefranque;;< 5 MW;zone soutirage;;;;;
ARGIAP7;POSTE 400kV N0 1 ARGIA (BAYONNE SUD);64558;Villefranque;;< 5 MW;;;;;;
ARGIEP3;POSTE 63kV N0 1 ARGIESANS;90004;Argiésans;;< 5 MW;zone soutirage;;;;;
ARGIEP6;POSTE 225kV N0 1 ARGIESANS;90004;Argiésans;;< 5 MW;zone soutirage;;;;;
ARGOEP4;POSTE 90kV N0 1 ARGOEUVES;80024;Argœuves;;< 5 MW;;;;;;
ARGOEP6;POSTE 225kV N0 1 ARGOEUVES;80024;Argœuves;;< 5 MW;;;;;;
ARGOEP7;POSTE 400kV N0 1 ARGOEUVES;80024;Argœuves;;< 5 MW;;;;;;
ARLANP3;POSTE 63kV N0 1 ARLANDE (L );73011;Albertville;;< 5 MW;zone soutirage;;;;;
ARLESP3;POSTE 63kV N0 1 ARLES;13004;Arles;;< 5 MW;;;;;;
ARLODP3;POSTE 63kV N0 1 ARLOD;01033;Valserhône;;< 5 MW;;;;;;
ARLY P3;POSTE 63kV N0 1 ARLY;73303;Ugine;;< 5 MW;zone soutirage;;;;;
ARNAGP4;POSTE 90kV N0 1 ARNAGE;72008;Arnage;;< 5 MW;zone soutirage;;;;;
ARNAGP6;POSTE 225kV N0 1 ARNAGE;72008;Arnage;;< 5 MW;zone soutirage;;;;;
ARPAJP4;POSTE 90kV N0 1 ARPAJON;91552;Saint-Germain-lès-Arpajon;;< 5 MW;zone soutirage;;;;;
ARPENP4;POSTE 90kV N0 1 ARPENTS (LES);28404;Vernouillet;;< 5 MW;zone soutirage;;;;;
ARPENP6;POSTE 225kV N0 1 ARPENTS (LES);28404;Vernouillet;;< 5 MW;zone soutirage;;;;;
ARRASP4;POSTE 90kV N0 1 ARRAS;62744;Sainte-Catherine;;< 5 MW;;;;;;
ARRIGP3;POSTE 63kV N0 1 ARRIGHI;94081;Vitry-sur-Seine;;< 5 MW;zone soutirage;;;;;
ARRIGP6;POSTE 225kV N0 1 ARRIGHI;94081;Vitry-sur-Seine;;< 5 MW;zone soutirage;;;;;
ARSOTP3;POSTE 63kV N0 1 ARSOT;90075;Offemont;;< 5 MW;zone soutirage;;;;;
ARUDYP3;POSTE 63kV N0 1 ARUDY;64062;Arudy;;< 5 MW;;;;;;
ARVERP4;POSTE 90kV N0 1 ARVERT;17021;Arvert;;< 5 MW;zone soutirage;;;;;
ARVIEP3;POSTE 63kV N0 1 ARVIEU;12011;Arvieu;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
ASASPP3;POSTE 63kV N0 1 ASASP;64064;Asasp-Arros;;< 5 MW;;;;;;
ASPR5P3;POSTE 63kV N0 1 ASPRES;66015;Banyuls-dels-Aspres;zone faisant l'objet de demandes;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;50 MW;Baixas;210 MW
ASSIEP3;POSTE 63kV N0 1 ASSIER;46009;Assier;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
ASTURP6;POSTE 225kV N0 1 ASTURIES;59028;Auby;;< 5 MW;zone soutirage;;;;;
ATHELP3;POSTE 63kV N0 1 ATHELIA;13028;La Ciotat;;< 5 MW;;;;;;
ATTAQP4;POSTE 90kV N0 1 ATTAQUES (LES);62548;Marck;;< 5 MW;;;;;;
ATTAQP6;POSTE 225kV N0 1 ATTAQUES (LES);62548;Marck;;< 5 MW;;;;;;
ATTAQP7;POSTE 400kV N0 1 ATTAQUES (LES);62548;Marck;;< 5 MW;;;;;;
AUBAGP3;POSTE 63kV N0 1 AUBAGNE;13005;Aubagne;;< 5 MW;zone soutirage;;;;;
AUBE P4;POSTE 90kV N0 1 AUBE;61008;Aube;;< 5 MW;zone soutirage;;;;;
AUBE P6;POSTE 225kV N0 1 AUBE;61008;Aube;;< 5 MW;zone soutirage;;;;;
AUBE6P6;POSTE 225kV N0 1 AUBERVILLIERS;93001;Aubervilliers;;< 5 MW;zone soutirage;;;;;
AUBENP3;POSTE 63kV N0 1 AUBENAS;07019;Aubenas;;< 5 MW;;;;;;
AUBERP4;POSTE 90kV N0 1 AUBERVILLE;76476;Port-Jérôme-sur-Seine;;< 5 MW;;;;;;
AUBI5P3;POSTE 63kV N0 1 AUBIGNY;18015;Aubigny-sur-Nère;;< 5 MW;;;;;;
AUBIGP4;POSTE 90kV N0 1 AUBIGNE;49012;Aubigné-sur-Layon;;< 5 MW;;;;;;
AUBRIP3;POSTE 63kV N0 1 AUBRIVES;54580;Villerupt;;< 5 MW;;;;;;
AUBUSP3;POSTE 63kV N0 1 AUBUSSON;23008;Aubusson;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUBUSP6;POSTE 225kV N0 1 AUBUSSON;23008;Aubusson;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUCH P3;POSTE 63kV N0 1 AUCH(AUCH);32013;Auch;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;< 5 MW;Jalis;105 MW
AUDONP3;POSTE 63kV N0 1 AUDON;40018;Audon;;< 5 MW;zone soutirage;;;;;
AULNAP4;POSTE 90kV N0 1 AULNAY (-AUX-PLANCHES);51158;Val-des-Marais;;< 5 MW;;;;;;
AUMALP4;POSTE 90kV N0 1 AUMALE;76035;Aumale;;< 5 MW;;;;;;
AUMONP3;POSTE 63kV N0 1 AUMONE (L );74225;Rumilly;;< 5 MW;zone soutirage;;;;;
AUNEAP4;POSTE 90kV N0 1 AUNEAU;28317;Roinville;;< 5 MW;;;;;;
AURAYP3;POSTE 63kV N0 1 AURAY;56023;Brech;;< 5 MW;zone soutirage;;;;;
AUREEP3;POSTE 63kV N0 1 AURE;65031;Arreau;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUREEP6;POSTE 225kV N0 1 AURE;65031;Arreau;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUREIP3;POSTE 63kV N0 1 AUREILHAN;65047;Aureilhan;;< 5 MW;zone soutirage;;;;;
AURENP4;POSTE 90kV N0 1 AURENCE (L );87085;Limoges;;< 5 MW;;;;;;
AURI5P3;POSTE 63kV N0 1 AURIOL;13007;Auriol;;< 5 MW;zone soutirage;;;;;
AURIAP3;POSTE 63kV N0 1 AURIAC;64078;Auriac;;< 5 MW;zone soutirage;;;;;
AURILP4;POSTE 90kV N0 1 AURILLAC;15014;Aurillac;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUSSOP3;POSTE 63kV N0 1 AUSSOIS;73026;Avrieux;;< 5 MW;;;;;;
AUTERP3;POSTE 63kV N0 1 AUTERRIVE;64082;Auterrive;;< 5 MW;;;;;;
AUVILP4;POSTE 90kV N0 1 AUVILLIERS;45008;Artenay;;< 5 MW;;;;;;
AUXERP3;POSTE 63kV N0 1 AUXERRE;89024;Auxerre;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUXONP3;POSTE 63kV N0 1 AUXONNE;21038;Auxonne;;< 5 MW;zone soutirage;;;;;
AUZANP3;POSTE 63kV N0 1 AUZANCES;23013;Auzances;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
AUZATP3;POSTE 63kV N0 1 AUZAT;09030;Auzat;;< 5 MW;;;;;;
AVALLP3;POSTE 63kV N0 1 AVALLON;89025;Avallon;;< 5 MW;;;;;;
AVALLP6;POSTE 225kV N0 1 AVALLON;89025;Avallon;;< 5 MW;;;;;;
AVELIP6;POSTE 225kV N0 1 AVELIN;59034;Avelin;;< 5 MW;zone soutirage;;;;;
AVELIP7;POSTE 400kV N0 1 AVELIN;59034;Avelin;;< 5 MW;;;;;;
AVENIP6;POSTE 225kV N0 1 AVENIR;93008;Bobigny;;< 5 MW;zone soutirage;;;;;
AVIG5P3;POSTE 63kV N0 1 AVIGNONET;31037;Avignonet-Lauragais;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;< 5 MW;Issel;55 MW
AVIGNP3;POSTE 63kV N0 1 AVIGNON (POSTE);84007;Avignon;;< 5 MW;zone soutirage;;;;;
AVIGNP6;POSTE 225kV N0 1 AVIGNON (POSTE);84007;Avignon;;< 5 MW;zone soutirage;;;;;
AVIO5P4;POSTE 90kV N0 1 AVION;62065;Avion;;< 5 MW;;;;;;
AVOINP4;POSTE 90kV N0 1 AVOINE;37011;Avoine;;< 5 MW;;;;;;
AVOINP6;POSTE 225kV N0 1 AVOINE;37011;Avoine;;< 5 MW;;;;;;
AVRANP4;POSTE 90kV N0 1 AVRANCHES;50025;Avranches;;< 5 MW;zone soutirage;;;;;
AVRILP4;POSTE 90kV N0 1 AVRILLE;49015;Avrillé;;< 5 MW;zone soutirage;;;;;
AVRIMP3;POSTE 63kV N0 1 AVRIMA;54079;Blénod-lès-Pont-à-Mousson;;< 5 MW;;;;;;
AYDESP4;POSTE 90kV N0 1 AYDES (LES);45302;Saran;;< 5 MW;zone soutirage;;;;;
AYRESP6;POSTE 225kV N0 1 AYRES;12251;Saint-Victor-et-Melvieu;;< 5 MW;;;;;;
AYRESP7;POSTE 400kV N0 1 AYRES;12251;Saint-Victor-et-Melvieu;;< 5 MW;;;;;;
AYTREP4;POSTE 90kV N0 1 AYTRE;17028;Aytré;;< 5 MW;zone soutirage;;;;;
B.AIRP3;POSTE 63kV N0 1 BEL-AIR;12290;Vaureilles;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
B.ARCP3;POSTE 63kV N0 1 BOURBON-L ARCHAMBAULT;03036;Bourbon-l'Archambault;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
B.BAIP3;POSTE 63kV N0 1 BAINS-LES-BAINS;88029;La Vôge-les-Bains;;< 5 MW;;;;;;
B.BERP6;POSTE 225kV N0 1 BOIS-BERNARD;62148;Bois-Bernard;;< 5 MW;;;;;;
B.CARP6;POSTE 225kV N0 1 BROC-CARROS (LE);06033;Carros;;< 5 MW;zone soutirage;;;;;
B.CARP7;POSTE 400kV N0 1 BROC-CARROS (LE);06033;Carros;;< 5 MW;;;;;;
B.CEZP3;POSTE 63kV N0 1 BAGNOLS-SUR-CEZE;30342;Vénéjan;;< 5 MW;zone soutirage;;;;;
B.DAMP3;POSTE 63kV N0 1 BAUME-LES-DAMES;25047;Baume-les-Dames;;< 5 MW;;;;;;
B.DUCP3;POSTE 63kV N0 1 BAR-LE-DUC;55029;Bar-le-Duc;;< 5 MW;;;;;;
B.DURP4;POSTE 90kV N0 1 BOIS-DURAND;16090;Châteauneuf-sur-Charente;;< 5 MW;;;;;;
B.EPIP4;POSTE 90kV N0 1 BELLE-EPINE;35353;Vezin-le-Coquet;;< 5 MW;zone soutirage;;;;;
B.EPIP6;POSTE 225kV N0 1 BELLE-EPINE;35353;Vezin-le-Coquet;;< 5 MW;zone soutirage;;;;;
B.ETOP3;POSTE 63kV N0 1 BELLE-ETOILE;69199;Saint-Fons;;< 5 MW;;;;;;
B.GUIP4;POSTE 90kV N0 1 BOIS-GUILLAUME;76108;Bois-Guillaume;;< 5 MW;;;;;;
B.HAMP3;POSTE 63kV N0 1 BASSE-HAM;57287;Basse-Ham;;< 5 MW;zone soutirage;;;;;
B.HAMP6;POSTE 225kV N0 1 BASSE-HAM;57287;Basse-Ham;;< 5 MW;zone soutirage;;;;;
B.LOMP3;POSTE 63kV N0 1 BEAUMONT-DE-LOMAGNE;82013;Beaumont-de-Lomagne;;< 5 MW;zone soutirage;;;;;
B.MAIP6;POSTE 225kV N0 1 BELLE-DE-MAI;13055;Marseille;;< 5 MW;zone soutirage;;;;;
B.MONP3;POSTE 63kV N0 1 BEAUMONT-MONTEUX;26038;Beaumont-Monteux;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
B.MONP6;POSTE 225kV N0 1 BEAUMONT-MONTEUX;26038;Beaumont-Monteux;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
B.MONP7;POSTE 400kV N0 1 BEAUMONT-MONTEUX;26038;Beaumont-Monteux;;< 5 MW;;;;;;
B.RONP3;POSTE 63kV N0 1 BUISSON-ROND;73029;Barberaz;;< 5 MW;zone soutirage;;;;;
B.THOP4;POSTE 90kV N0 1 BARRE-THOMAS (LA);35238;Rennes;;< 5 MW;zone soutirage;;;;;
B.TOLP3;POSTE 63kV N0 1 BOIS-TOLLOT;01313;Prévessin-Moëns;;< 5 MW;zone soutirage;;;;;
B.TOLP7;POSTE 400kV N0 1 BOIS-TOLLOT;01313;Prévessin-Moëns;;< 5 MW;;;;;;
BACALP3;POSTE 63kV N0 1 BACALAN;33063;Bordeaux;;< 5 MW;zone soutirage;;;;;
BACALP6;POSTE 225kV N0 1 BACALAN;33063;Bordeaux;;< 5 MW;zone soutirage;;;;;
BACCHP4;POSTE 90kV N0 1 BACCHUS;50041;La Hague;;< 5 MW;zone soutirage;;;;;
BAGATP3;POSTE 63kV N0 1 BAGATELLE;11076;Castelnaudary;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;< 5 MW;Issel;55 MW
BAILLP4;POSTE 90kV N0 1 BAILLEUL;59043;Bailleul;;< 5 MW;;;;;;
BAIXAP3;POSTE 63kV N0 1 BAIXAS;66014;Baixas;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
BAIXAP6;POSTE 225kV N0 1 BAIXAS;66014;Baixas;zone faisant l'objet de demandes;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;150 MW;Baixas;210 MW
BAIXAP7;POSTE 400kV N0 1 BAIXAS;66014;Baixas;;< 5 MW;;;;;;
BAJATP3;POSTE 63kV N0 1 BAJATIERE;38185;Grenoble;;< 5 MW;zone soutirage;;;;;
BALARP3;POSTE 63kV N0 1 BALARUC;34023;Balaruc-les-Bains;;< 5 MW;zone soutirage;;;;;
BALARP6;POSTE 225kV N0 1 BALARUC;34023;Balaruc-les-Bains;;< 5 MW;zone soutirage;;;;;
BALDIP3;POSTE 63kV N0 1 BALDI;34003;Agde;;< 5 MW;;;;;;
BALMAP3;POSTE 63kV N0 1 BALMA (POSTE);31044;Balma;;< 5 MW;;;;;;
BALMAP6;POSTE 225kV N0 1 BALMA (POSTE);31044;Balma;;< 5 MW;;;;;;
BANCAP3;POSTE 63kV N0 1 BANCAIRON;06042;Clans;;< 5 MW;zone soutirage;;;;;
BANCAP5;POSTE 150kV N0 1 BANCAIRON;06042;Clans;;< 5 MW;zone soutirage;;;;;
BARAGP3;POSTE 63kV N0 1 BARAGARRY;64188;Chéraute;;< 5 MW;;;;;;
BARALP3;POSTE 63kV N0 1 BARALET;64136;Borce;;< 5 MW;;;;;;
BARAQP3;POSTE 63kV N0 1 BARAQUEVILLE;12056;Baraqueville;;< 5 MW;;;;;;
BARBEP4;POSTE 90kV N0 1 BARBEZIEUX;16028;Barbezieux-Saint-Hilaire;;< 5 MW;zone soutirage;;;;;
BARBOP3;POSTE 63kV N0 1 BARBOTAN;32096;Cazaubon;;< 5 MW;;;;;;
BARBUP3;POSTE 63kV N0 1 BARBUISE;10291;Plessis-Barbuise;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
BARBUP6;POSTE 225kV N0 1 BARBUISE;10291;Plessis-Barbuise;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
BARCEP3;POSTE 63kV N0 1 BARCELONNETTE;04019;Barcelonnette;;< 5 MW;;;;;;
BARETP4;POSTE 90kV N0 1 BARETTES;76467;Néville;;< 5 MW;;;;;;
BARJAP6;POSTE 225kV N0 1 BARJAC;30029;Barjac;;< 5 MW;;;;;;
BARJOP3;POSTE 63kV N0 1 BARJOLS;83012;Barjols;;< 5 MW;;;;;;
BARLIP4;POSTE 90kV N0 1 BARLIN;62443;Hersin-Coupigny;;< 5 MW;;;;;;
BARNAP7;POSTE 400kV N0 1 BARNABOS;76086;Bertrimont;;< 5 MW;;;;;;
BARQUP6;POSTE 225kV N0 1 BARQUET;27040;Barquet;;< 5 MW;zone soutirage;;;;;
BARR6P3;POSTE 63kV N0 1 BARROIR;60463;Nogent-sur-Oise;;< 5 MW;zone soutirage;;;;;
BASCAP3;POSTE 63kV N0 1 BASCAT;40088;Dax;;< 5 MW;zone soutirage;;;;;
BASS6P3;POSTE 63kV N0 1 BASSIGNY;52353;Nogent;;< 5 MW;;;;;;
