IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
OUDONP6;POSTE 225kV N0 1 OUDON;53026;Beaulieu-sur-Oudon;;< 5 MW;;;;;;
OUDONP7;POSTE 400kV N0 1 OUDON;53026;Beaulieu-sur-Oudon;;< 5 MW;;;;;;
OULLIP3;POSTE 63kV N0 1 OULLINS;69149;Oullins-Pierre-Bénite;;< 5 MW;zone soutirage;;;;;
OYONNP3;POSTE 63kV N0 1 OYONNAX;01283;Oyonnax;;< 5 MW;;;;;;
P.ABBP3;POSTE 63kV N0 1 PONT-L ABBE;29171;Plomeur;;< 5 MW;zone soutirage;;;;;
P.AGEP3;POSTE 63kV N0 1 PASSAGE-D AGEN;47201;Le Passage;;< 5 MW;;;;;;
P.ANDP3;POSTE 63kV N0 1 PRAZ-ST-ANDRE;73223;Saint-André;;< 5 MW;;;;;;
P.ANDP6;POSTE 225kV N0 1 PRAZ-ST-ANDRE;73223;Saint-André;;< 5 MW;;;;;;
P.ARAP3;POSTE 63kV N0 1 PONT-D ARAN;83009;Bandol;;< 5 MW;zone soutirage;;;;;
P.AU5P4;POSTE 90kV N0 1 PONT-AUDEMER CLIENT;27467;Pont-Audemer;;< 5 MW;zone soutirage;;;;;
P.BERP3;POSTE 63kV N0 1 PETIT-BERNARD;21231;Dijon;;< 5 MW;zone soutirage;;;;;
P.BORP3;POSTE 63kV N0 1 PIED-DE-BORNE;48015;Pied-de-Borne;;< 5 MW;;;;;;
P.BORP6;POSTE 225kV N0 1 PIED-DE-BORNE;48015;Pied-de-Borne;;< 5 MW;;;;;;
P.BOUP3;POSTE 63kV N0 1 PORT-DE-BOUC (CLIENT);13077;Port-de-Bouc;;< 5 MW;;;;;;
P.CASP3;POSTE 63kV N0 1 PONT-DU-CASSE;47209;Pont-du-Casse;;< 5 MW;;;;;;
P.CHAP4;POSTE 90kV N0 1 PEYRAT-LE-CHATEAU;87117;Peyrat-le-Château;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
P.CHAP6;POSTE 225kV N0 1 PEYRAT-LE-CHATEAU;87117;Peyrat-le-Château;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
P.CHRP3;POSTE 63kV N0 1 PLEYBER-CHRIST;29163;Pleyber-Christ;;< 5 MW;;;;;;
P.CHRP6;POSTE 225kV N0 1 PLEYBER-CHRIST;29163;Pleyber-Christ;;< 5 MW;;;;;;
P.CORP7;POSTE 400kV N0 1 PIVOZ-CORDIER;38425;Saint-Maurice-l'Exil;;< 5 MW;;;;;;
P.EVEP3;POSTE 63kV N0 1 PONT-EVEQUE;38157;Estrablin;;< 5 MW;zone soutirage;;;;;
P.EVEP6;POSTE 225kV N0 1 PONT-EVEQUE;38157;Estrablin;;< 5 MW;zone soutirage;;;;;
P.FOSP3;POSTE 63kV N0 1 PONT DU FOSSE;05145;Saint-Jean-Saint-Nicolas;;< 5 MW;zone soutirage;;;;;
P.GASP6;POSTE 225kV N0 1 PLESSIS-GASSOT;95492;Le Plessis-Gassot;;< 5 MW;zone soutirage;;;;;
P.GASP7;POSTE 400kV N0 1 PLESSIS-GASSOT;95492;Le Plessis-Gassot;;< 5 MW;;;;;;
P.GR5P3;POSTE 63kV N0 1 PLAN-DE-GRASSE;06069;Grasse;;< 5 MW;zone soutirage;;;;;
P.GR5P6;POSTE 225kV N0 1 PLAN-DE-GRASSE;06069;Grasse;;< 5 MW;zone soutirage;;;;;
P.GRAP3;POSTE 63kV N0 1 PRE-GRAND;81060;Carmaux;;< 5 MW;zone soutirage;;;;;
P.HA5P6;POSTE 225kV N0 1 PLAINE HAUTE;22170;Plaine-Haute;;< 5 MW;;;;;;
P.HA5P7;POSTE 400kV N0 1 PLAINE HAUTE;22170;Plaine-Haute;;< 5 MW;;;;;;
P.JERP4;POSTE 90kV N0 1 PORT-JEROME;76476;Port-Jérôme-sur-Seine;;< 5 MW;zone soutirage;;;;;
P.JERP6;POSTE 225kV N0 1 PORT-JEROME;76476;Port-Jérôme-sur-Seine;;< 5 MW;zone soutirage;;;;;
P.LANP3;POSTE 63kV N0 1 PAS-DES-LANCIERS;13102;Saint-Victoret;;< 5 MW;zone soutirage;;;;;
P.MACP4;POSTE 90kV N0 1 PLESSIS-MACE;49200;Longuenée-en-Anjou;;< 5 MW;zone soutirage;;;;;
P.ME5P6;POSTE 225kV N0 1 PETIT-MENIN;59426;Neuville-en-Ferrain;;< 5 MW;zone soutirage;;;;;
P.MEDP3;POSTE 63kV N0 1 PIAN-MEDOC (LE);33322;Le Pian-Médoc;;< 5 MW;zone soutirage;;;;;
P.MEEP3;POSTE 63kV N0 1 PONT-DU-MEE;77152;Dammarie-les-Lys;;< 5 MW;zone soutirage;;;;;
P.MONP3;POSTE 63kV N0 1 PARAY-LE-MONIAL;71342;Paray-le-Monial;;< 5 MW;;;;;;
P.NOUP3;POSTE 63kV N0 1 PORT-LA-NOUVELLE;11266;Port-la-Nouvelle;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;< 5 MW;Liviere;55 MW
P.ORGP3;POSTE 63kV N0 1 PLAN-D ORGON;13076;Plan-d'Orgon;;< 5 MW;;;;;;
P.ORGP6;POSTE 225kV N0 1 PLAN-D ORGON;13076;Plan-d'Orgon;;< 5 MW;;;;;;
P.ORGP7;POSTE 400kV N0 1 PLAN-D ORGON;13076;Plan-d'Orgon;;< 5 MW;;;;;;
P.RHOP3;POSTE 63kV N0 1 PORT-ST-LOUIS-DU-RHONE;13078;Port-Saint-Louis-du-Rhône;;< 5 MW;;;;;;
P.ROIP3;POSTE 63kV N0 1 PONT-DE-ROIDE;25463;Pont-de-Roide-Vermondans;;< 5 MW;;;;;;
P.ROSP3;POSTE 63kV N0 1 PETITE-ROSSELLE;57227;Forbach;;< 5 MW;zone soutirage;;;;;
P.ROSP6;POSTE 225kV N0 1 PETITE-ROSSELLE;57227;Forbach;;< 5 MW;zone soutirage;;;;;
P.ROUP3;POSTE 63kV N0 1 POTEAU-ROUGE;56036;Caudan;;< 5 MW;zone soutirage;;;;;
P.ROUP6;POSTE 225kV N0 1 POTEAU-ROUGE;56036;Caudan;;< 5 MW;zone soutirage;;;;;
P.ROYP3;POSTE 63kV N0 1 PONT-EN-ROYANS;38319;Pont-en-Royans;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
P.SALP3;POSTE 63kV N0 1 PONT-SALOMON;43153;Pont-Salomon;;< 5 MW;zone soutirage;;;;;
P.SAMP4;POSTE 90kV N0 1 PONT-SUR-SAMBRE;59467;Pont-sur-Sambre;;< 5 MW;zone soutirage;;;;;
P.SAMP6;POSTE 225kV N0 1 PONT-SUR-SAMBRE;59467;Pont-sur-Sambre;;< 5 MW;zone soutirage;;;;;
P.SAOP3;POSTE 63kV N0 1 POUILLY-SUR-SAONE;21502;Pouilly-sur-Saône;;< 5 MW;zone soutirage;;;;;
P.SE5P3;POSTE 63kV N0 1 PRE-SEIGNEURS;01049;La Boisse;;< 5 MW;zone soutirage;;;;;
P.SEPP4;POSTE 90kV N0 1 PONT-SEPT;76351;Le Havre;;< 5 MW;;;;;;
P.SEPP6;POSTE 225kV N0 1 PONT-SEPT;76351;Le Havre;;< 5 MW;;;;;;
P.SIMP3;POSTE 63kV N0 1 PORTET-ST-SIMON;31433;Portet-sur-Garonne;;< 5 MW;zone soutirage;;;;;
P.SIMP6;POSTE 225kV N0 1 PORTET-ST-SIMON;31433;Portet-sur-Garonne;;< 5 MW;zone soutirage;;;;;
